date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:21	862/862	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:9ebaf56451b4d94a8bdec412c19025bb%22	https://weepink.me/robots.txt		(from )
15:36:22	213674/213674	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:a1f56ac223ba51941aba6e756710a5d8%22	https://weepink.me/	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/index.html	(from )
15:36:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2018:37:04%20GMT	http://weepink.me/cdn/shop/files/b348e3d0e98aa526ce7c043521141f82115-removebg-preview_300x_2x_960f33c4-28ac-4462-a82f-140e47e16571_96x96.png?v=1757448428	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/shop/files/b348e3d0e98aa526ce7c043521141f82115-removebg-preview_300x_2x_960f33c4-28ac-4462-a82f-140e47e16571_96x96.0aaf7.delayed	(from https://weepink.me/)
15:36:22	6128/6128	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Sep%202025%2015:40:04%20GMT	https://weepink.me/cdn/shop/files/b348e3d0e98aa526ce7c043521141f82115-removebg-preview_300x_2x_960f33c4-28ac-4462-a82f-140e47e16571_96x96.png?v=1757448428	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/shop/files/b348e3d0e98aa526ce7c043521141f82115-removebg-preview_300x_2x_960f33c4-28ac-4462-a82f-140e47e16571_96x96aaf7.png	(from https://weepink.me/)
15:36:22	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2018:37:04%20GMT	http://weepink.me/cdn/shop/t/5/assets/theme.css?v=102977086497766031711757274577	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/shop/t/5/assets/theme5e4c.css	(from https://weepink.me/)
15:36:22	284519/284519	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Sep%202025%2023:50:43%20GMT	https://weepink.me/cdn/shop/t/5/assets/theme.css?v=102977086497766031711757274577	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/shop/t/5/assets/theme5e4c.css	(from https://weepink.me/)
15:36:23	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2018:37:04%20GMT	http://weepink.me/cdn/fonts/poppins/poppins_n6.aa29d4918bc243723d56b59572e18228ed0786f6.woff2?h1=ZWhpN2ZoLXZzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=d2VlcGluay5tZQ&h3=YWNjb3VudC53ZWVwaW5rLm1l&hmac=20c7af9e883555b8a1aae66d8b2eb97ec28309e5b6b7d0dbd43889d72a793839	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/fonts/poppins/poppins_n6.aa29d4918bc243723d56b59572e18228ed0786f69923.woff2	(from https://weepink.me/)
15:36:24	9860/9860	---M--	200	added ('OK')	font/woff2	date:Fri,%2008%20Aug%202025%2002:35:40%20GMT	https://weepink.me/cdn/fonts/poppins/poppins_n6.aa29d4918bc243723d56b59572e18228ed0786f6.woff2?h1=ZWhpN2ZoLXZzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=d2VlcGluay5tZQ&h3=YWNjb3VudC53ZWVwaW5rLm1l&hmac=20c7af9e883555b8a1aae66d8b2eb97ec28309e5b6b7d0dbd43889d72a793839	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/fonts/poppins/poppins_n6.aa29d4918bc243723d56b59572e18228ed0786f69923.woff2	(from https://weepink.me/)
15:36:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2018:37:05%20GMT	http://weepink.me/cdn/fonts/poppins/poppins_i6.bb8044d6203f492888d626dafda3c2999253e8e9.woff2?h1=ZWhpN2ZoLXZzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=d2VlcGluay5tZQ&h3=YWNjb3VudC53ZWVwaW5rLm1l&hmac=e54e38305150c7c8509236b23cec97d4c6450412e6482be9234c2c4b88bd6a3a	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/fonts/poppins/poppins_i6.bb8044d6203f492888d626dafda3c2999253e8e945a8.woff2	(from https://weepink.me/)
15:36:24	10704/10704	---M--	200	added ('OK')	font/woff2	date:Fri,%2008%20Aug%202025%2008:15:52%20GMT	https://weepink.me/cdn/fonts/poppins/poppins_i6.bb8044d6203f492888d626dafda3c2999253e8e9.woff2?h1=ZWhpN2ZoLXZzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=d2VlcGluay5tZQ&h3=YWNjb3VudC53ZWVwaW5rLm1l&hmac=e54e38305150c7c8509236b23cec97d4c6450412e6482be9234c2c4b88bd6a3a	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/fonts/poppins/poppins_i6.bb8044d6203f492888d626dafda3c2999253e8e945a8.woff2	(from https://weepink.me/)
15:36:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Sep%202025%2018:37:06%20GMT	http://weepink.me/cdn/fonts/poppins/poppins_n4.0ba78fa5af9b0e1a374041b3ceaadf0a43b41362.woff2?h1=ZWhpN2ZoLXZzLmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=d2VlcGluay5tZQ&h3=YWNjb3VudC53ZWVwaW5rLm1l&hmac=d8136b8115e0ff924f3e362ef6dc745954860b2dea6645024a4a8fe8db2a6359	C:/Users/rodrigues/Documents/WEPINK/wepink/weepink.me/cdn/fonts/poppins/poppins_n4.0ba78fa5af9b0e1a374041b3ceaadf0a43b41362e5c7.woff2	(from https://weepink.me/)
